N:1000, num_eigs:1000, dtype:torch.float64, run_time:2.5105984210968018, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:45054976
N:2000, num_eigs:2000, dtype:torch.float64, run_time:2.7103092670440674, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:123935232
N:5000, num_eigs:5000, dtype:torch.float64, run_time:3.636481285095215, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:675728896
N:10000, num_eigs:10000, dtype:torch.float64, run_time:6.243997812271118, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:3182363136
N:15000, num_eigs:15000, dtype:torch.float64, run_time:12.032482147216797, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:5920258816
N:20000, num_eigs:20000, dtype:torch.float64, run_time:22.11717462539673, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:10507525376
N:25000, num_eigs:25000, dtype:torch.float64, run_time:37.68759226799011, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:16084200704
N:30000, num_eigs:30000, dtype:torch.float64, run_time:59.65450048446655, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:23227407616
N:35000, num_eigs:35000, dtype:torch.float64, run_time:None, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:31680607232
N:40000, num_eigs:40000, dtype:torch.float64, run_time:None, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:41443812096
N:45000, num_eigs:45000, dtype:torch.float64, run_time:None, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:51939904768
N:50000, num_eigs:50000, dtype:torch.float64, run_time:None, device:NVIDIA A100-SXM4-40GB, method:cusolverMgsyevd, workspace_bytes:64259049728
