N:15000, num_eigs:15000, dtype:torch.float64, run_time:20.437946557998657, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:5920258816
N:20000, num_eigs:20000, dtype:torch.float64, run_time:44.00131273269653, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:10507525376
N:25000, num_eigs:25000, dtype:torch.float64, run_time:81.64895629882812, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:16084200704
N:30000, num_eigs:30000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:23227407616
N:35000, num_eigs:35000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:31680607232
N:40000, num_eigs:40000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:41443812096
N:45000, num_eigs:45000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:51939904768
N:50000, num_eigs:50000, dtype:torch.float64, run_time:None, device:RTX-4090-24GB, method:cusolverMgsyevd, workspace_bytes:64259049728
N:100, num_eigs:5, dtype:torch.float32, run_time:0.0005781650543212891, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:1000, num_eigs:50, dtype:torch.float32, run_time:0.028871536254882812, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:2000, num_eigs:100, dtype:torch.float32, run_time:0.08107423782348633, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:5000, num_eigs:250, dtype:torch.float32, run_time:0.6614663600921631, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:10000, num_eigs:500, dtype:torch.float32, run_time:10.91232967376709, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:15000, num_eigs:750, dtype:torch.float32, run_time:49.06523132324219, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:20000, num_eigs:1000, dtype:torch.float32, run_time:125.92738723754883, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:25000, num_eigs:1250, dtype:torch.float32, run_time:249.06003546714783, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:30000, num_eigs:1500, dtype:torch.float32, run_time:430.37683486938477, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:35000, num_eigs:1750, dtype:torch.float32, run_time:680.3198094367981, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:40000, num_eigs:2000, dtype:torch.float32, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:45000, num_eigs:2250, dtype:torch.float32, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:50000, num_eigs:2500, dtype:torch.float32, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:100, num_eigs:5, dtype:torch.float64, run_time:0.0005307197570800781, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:1000, num_eigs:50, dtype:torch.float64, run_time:0.033460140228271484, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:2000, num_eigs:100, dtype:torch.float64, run_time:0.14246416091918945, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:5000, num_eigs:250, dtype:torch.float64, run_time:1.8480255603790283, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:10000, num_eigs:500, dtype:torch.float64, run_time:26.86431312561035, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:15000, num_eigs:750, dtype:torch.float64, run_time:102.00155544281006, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:20000, num_eigs:1000, dtype:torch.float64, run_time:244.9102931022644, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:25000, num_eigs:1250, dtype:torch.float64, run_time:475.47353315353394, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:30000, num_eigs:1500, dtype:torch.float64, run_time:819.2435867786407, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:35000, num_eigs:1750, dtype:torch.float64, run_time:1299.6917161941528, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:40000, num_eigs:2000, dtype:torch.float64, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:45000, num_eigs:2250, dtype:torch.float64, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
N:50000, num_eigs:2500, dtype:torch.float64, run_time:None, device:Ryzen 9 7900X 12-Core, method:scipy.linalg.eigh, workspace_bytes:None
