N, num_eigs, dtype, run_time, device, method, workspace_bytes
25000, 25000, torch.float64, 81.64895629882812, RTX-4090-24GB, cusolverMgsyevd, 16084200704
30000, 30000, torch.float64, None, RTX-4090-24GB, cusolverMgsyevd, 23227407616
35000, 35000, torch.float64, None, RTX-4090-24GB, cusolverMgsyevd, 31680607232
40000, 40000, torch.float64, None, RTX-4090-24GB, cusolverMgsyevd, 41443812096
45000, 45000, torch.float64, None, RTX-4090-24GB, cusolverMgsyevd, 51939904768
50000, 50000, torch.float64, None, RTX-4090-24GB, cusolverMgsyevd, 64259049728
100, 5, torch.float32, 0.0005781650543212891, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
1000, 50, torch.float32, 0.028871536254882812, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
2000, 100, torch.float32, 0.08107423782348633, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
5000, 250, torch.float32, 0.6614663600921631, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
10000, 500, torch.float32, 10.91232967376709, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
15000, 750, torch.float32, 49.06523132324219, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
20000, 1000, torch.float32, 125.92738723754883, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
25000, 1250, torch.float32, 249.06003546714783, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
30000, 1500, torch.float32, 430.37683486938477, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
35000, 1750, torch.float32, 680.3198094367981, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
40000, 2000, torch.float32, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
45000, 2250, torch.float32, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
50000, 2500, torch.float32, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
100, 5, torch.float64, 0.0005307197570800781, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
1000, 50, torch.float64, 0.033460140228271484, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
2000, 100, torch.float64, 0.14246416091918945, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
5000, 250, torch.float64, 1.8480255603790283, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
10000, 500, torch.float64, 26.86431312561035, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
15000, 750, torch.float64, 102.00155544281006, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
20000, 1000, torch.float64, 244.9102931022644, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
25000, 1250, torch.float64, 475.47353315353394, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
30000, 1500, torch.float64, 819.2435867786407, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
35000, 1750, torch.float64, 1299.6917161941528, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
40000, 2000, torch.float64, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
45000, 2250, torch.float64, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
50000, 2500, torch.float64, None, Ryzen 9 7900X 12-Core, scipy.linalg.eigh, None
